INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
Bakersfield College,NULL,NULL,15724,1,8522,NULL,1,Bakersfield,CA
Bridges Academy of Beauty,NULL,NULL,8,3,NULL,NULL,1,Barstow,CA
Barstow Community College,NULL,NULL,2715,1,12913,NULL,2,Barstow,CA
Bellus Academy-National City,NULL,NULL,199,3,NULL,NULL,1,National City,CA
Bethesda University of California,NULL,0.8182,256,2,15637,0.8148,3,Anaheim,CA
Biola University,1112,0.7466,4313,2,43201,0.6245,3,La Mirada,CA
Brooks Institute,NULL,0.9863,661,3,31458,0.453,3,Santa Barbara,CA
Brownson Technical School,NULL,NULL,34,3,NULL,NULL,1,Anaheim,CA
Bryan University,NULL,NULL,1315,3,24542,0.1489,2,Los Angeles,CA
Butte College,NULL,NULL,11165,1,10138,NULL,1,Oroville,CA
Phillips Graduate Institute,NULL,NULL,NULL,2,NULL,NULL,4,Chatsworth,CA
California Institute of Integral Studies,NULL,NULL,93,2,NULL,NULL,3,San Francisco,CA
Cabrillo College,NULL,NULL,12118,1,12570,NULL,2,Aptos,CA
California Baptist University,967,0.7326,4954,2,37341,0.5885,3,Riverside,CA
California College of the Arts,1061,0.8318,1450,2,51559,0.4505,3,Oakland,CA
University of California Hastings College of Law,NULL,NULL,NULL,1,NULL,NULL,4,San Francisco,CA
California Institute of Technology,1520,0.1277,997,2,54090,0.919,3,Pasadena,CA
California Lutheran University,1118,0.4726,2788,2,46435,0.6005,3,Thousand Oaks,CA
California Polytechnic State University-San Luis Obispo,1228,0.374,17599,1,23373,0.7221,3,San Luis Obispo,CA
Alliant International University,NULL,0.4444,140,2,NULL,NULL,3,San Diego,CA
California State University-Bakersfield,901,0.6695,7220,1,17020,0.3864,3,Bakersfield,CA
California State University-Stanislaus,915,0.7663,7619,1,16752,0.487,3,Turlock,CA
California State University-San Bernardino,904,0.582,15777,1,17442,0.4352,3,San Bernardino,CA
California State Polytechnic University-Pomona,1058,0.5509,20461,1,18347,0.508,3,Pomona,CA
California State University-Chico,1017,0.7399,15156,1,22358,0.572,3,Chico,CA
California State University-Dominguez Hills,833,0.5314,10941,1,12535,0.2764,3,Carson,CA
California State University-Fresno,920,0.6041,19371,1,16561,0.4806,3,Fresno,CA
California State University-Fullerton,1014,0.4669,32278,1,16709,0.5115,3,Fullerton,CA
California State University-East Bay,902,0.3571,11506,1,20913,0.4098,3,Hayward,CA
California State University-Long Beach,1021,0.3038,30918,1,18208,0.5692,3,Long Beach,CA
California State University-Los Angeles,870,0.6942,18055,1,14294,0.3651,3,Los Angeles,CA
California State University-Northridge,922,0.6225,31237,1,21338,0.4802,3,Northridge,CA
California State University-Sacramento,946,0.671,25540,1,19391,0.4143,3,Sacramento,CA
University of California-Berkeley,1361,0.2161,25774,1,32445,0.9068,3,Berkeley,CA
University of California-Davis,1208,0.4826,25588,1,30771,0.8125,3,Davis,CA
University of California-Irvine,1143,0.4746,22210,1,28781,0.8562,3,Irvine,CA
University of California-Los Angeles,1289,0.2711,27941,1,31216,0.9151,3,Los Angeles,CA
University of California-Riverside,1064,0.6816,18537,1,28809,0.6631,3,Riverside,CA
University of California-San Diego,1226,0.3535,22650,1,29194,0.8625,3,La Jolla,CA
