INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
Dominican School of Philosophy & Theology,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
East Los Angeles College,NULL,NULL,34015,1,13553,NULL,1,Monterey Park,CA
Marinello Schools of Beauty-Santa Clara,NULL,NULL,713,3,NULL,NULL,1,Santa Clara,CA
El Camino Community College District,NULL,NULL,21441,1,16704,NULL,2,Torrance,CA
Elegance International,NULL,NULL,97,3,NULL,NULL,1,Hollywood,CA
Marinello Schools of Beauty-Burbank,NULL,NULL,416,3,NULL,NULL,1,Burbank,CA
Marinello Schools of Beauty-Moreno Valley,NULL,NULL,301,3,NULL,NULL,1,Moreno Valley,CA
Emperor's College of Traditional Oriental Medicine,NULL,NULL,NULL,3,NULL,NULL,4,Santa Monica,CA
Empire College School of Business,NULL,NULL,224,3,NULL,NULL,1,Santa Rosa,CA
Evergreen Valley College,NULL,NULL,7581,1,14051,NULL,2,San Jose,CA
FIDM/Fashion Institute of Design & Merchandising-Los Angeles,NULL,0.5836,3743,3,41728,0.5821,2,Los Angeles,CA
FIDM/Fashion Institute of Design & Merchandising-San Francisco,NULL,0.6458,750,3,40735,0.5704,2,San Francisco,CA
FIDM/Fashion Institute of Design & Merchandising-Orange County,NULL,0.6723,293,3,38700,NULL,2,Irvine,CA
Feather River Community College District,NULL,NULL,1419,1,15606,NULL,2,Quincy,CA
Federico Beauty Institute,NULL,NULL,249,3,NULL,NULL,1,Sacramento,CA
Fielding Graduate University,NULL,NULL,NULL,2,NULL,NULL,4,Santa Barbara,CA
Five Branches University,NULL,NULL,NULL,2,NULL,NULL,4,Santa Cruz,CA
Hair California Beauty Academy,NULL,NULL,81,3,NULL,NULL,1,Orange,CA
Foothill College,NULL,NULL,13542,1,9837,NULL,2,Los Altos Hills,CA
Franciscan School of Theology,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Fredrick and Charles Beauty College,NULL,NULL,75,3,NULL,NULL,1,Eureka,CA
Fresno City College,NULL,NULL,19464,1,10327,NULL,2,Fresno,CA
Fresno Pacific University,1023,0.7274,2480,2,34317,0.5939,3,Fresno,CA
Fuller Theological Seminary in California,NULL,NULL,NULL,2,NULL,NULL,4,Pasadena,CA
Fullerton College,NULL,NULL,17970,1,10830,NULL,2,Fullerton,CA
Galen College of Medical and Dental Assistants,NULL,NULL,64,3,NULL,NULL,1,Fresno,CA
Gavilan College,NULL,NULL,6125,1,11863,NULL,2,Gilroy,CA
Gemological Institute of America,NULL,NULL,211,2,NULL,NULL,1,Carlsbad,CA
Glendale Community College,NULL,NULL,14476,1,9277,NULL,2,Glendale,CA
Glendale Career College,NULL,NULL,344,3,NULL,NULL,1,Glendale,CA
Golden Gate University-San Francisco,NULL,NULL,506,2,NULL,NULL,3,San Francisco,CA
Golden West College,NULL,NULL,11377,1,14815,NULL,1,Huntington Beach,CA
Graduate Theological Union,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Grossmont College,NULL,NULL,16283,1,6844,NULL,2,El Cajon,CA
Salon Success Academy-San Bernardino,NULL,NULL,29,3,NULL,NULL,1,San Bernardino,CA
Hartnell College,NULL,NULL,7508,1,14202,NULL,2,Salinas,CA
Harvey Mudd College,1500,0.1924,780,2,57968,0.8833,3,Claremont,CA
Heald College-Rancho Cordova,NULL,0.8828,1324,3,25756,NULL,2,Rancho Cordova,CA
Heald College-Fresno,NULL,0.7763,1981,3,24290,NULL,2,Fresno,CA
Heald College-San Jose,NULL,0.8641,1736,3,23818,NULL,2,Milpitas,CA
Heald College-San Francisco,NULL,0.936,1225,3,25073,NULL,2,San Francisco,CA
Heald College-Concord,NULL,0.8825,1657,3,24122,NULL,2,Concord,CA
Hilltop Beauty School,NULL,NULL,146,3,NULL,NULL,1,Daly City,CA
Holy Names University,920,0.5086,807,2,44994,0.3939,3,Oakland,CA
Pacifica Graduate Institute,NULL,NULL,NULL,3,NULL,NULL,4,Carpinteria,CA
Humboldt State University,1021,0.8115,7580,1,22579,0.4048,3,Arcata,CA
Humphreys College-Stockton and Modesto Campuses,NULL,NULL,870,2,20829,0.8421,3,Stockton,CA
Imperial Valley College,NULL,NULL,6526,1,8553,NULL,2,Imperial,CA
Institute for Business and Technology,NULL,NULL,270,3,NULL,NULL,1,Santa Clara,CA
Interior Designers Institute,NULL,NULL,317,3,NULL,NULL,1,Newport Beach,CA
Toni & Guy Hairdressing Academy-Santa Monica,NULL,NULL,234,3,NULL,NULL,1,Santa Monica,CA
Irvine Valley College,NULL,NULL,11468,1,16064,NULL,1,Irvine,CA
ITT Technical Institute-San Diego,NULL,0.887,1385,3,25934,0.2879,2,San Diego,CA
ITT Technical Institute-San Dimas,NULL,0.937,451,3,25982,0.3333,2,San Dimas,CA
ITT Technical Institute-Orange,NULL,0.8964,926,3,26300,0.3333,2,Orange,CA
Bellus Academy-El Cajon,NULL,NULL,175,3,NULL,NULL,1,El Cajon,CA
Joe Blasco Makeup Artist Training Center,NULL,NULL,60,3,NULL,NULL,1,Los Angeles,CA
John F Kennedy University,NULL,NULL,271,2,NULL,NULL,3,Pleasant Hill,CA
American Jewish University,1007,0.9643,126,2,44144,0.6154,3,Los Angeles,CA
Reedley College,NULL,NULL,12278,1,9565,NULL,2,Reedley,CA
Life Pacific College,973,0.6309,458,2,23050,0.3049,3,San Dimas,CA
The Art Institute of California-Argosy University San Diego,NULL,0.9147,1978,3,31011,0.4021,3,San Diego,CA
University of La Verne,1008,0.3987,4956,2,42119,0.5897,3,La Verne,CA
Laguna College of Art and Design,NULL,0.3964,457,2,34502,0.6029,3,Laguna Beach,CA
Lake Tahoe Community College,NULL,NULL,2290,1,9645,NULL,2,South Lake Tahoe,CA
Lancaster Beauty School,NULL,NULL,100,3,NULL,NULL,1,Lancaster,CA
Laney College,NULL,NULL,10007,1,11684,NULL,2,Oakland,CA
Lassen Community College,NULL,NULL,1811,1,14125,NULL,2,Susanville,CA
Life Chiropractic College West,NULL,NULL,NULL,2,NULL,NULL,4,Hayward,CA
Lincoln University,NULL,0.6949,109,2,19840,0.84,2,Oakland,CA
Southern California Seminary,NULL,NULL,74,2,29646,0,3,El Cajon,CA
La Sierra University,936,0.4847,2001,2,38492,0.5288,3,Riverside,CA
Loma Linda University,NULL,NULL,1108,2,NULL,NULL,3,Loma Linda,CA
Long Beach City College,NULL,NULL,23477,1,10322,NULL,1,Long Beach,CA
Southern California University of Health Sciences,NULL,NULL,0,2,NULL,NULL,1,Whittier,CA
Los Angeles Harbor College,NULL,NULL,8736,1,13635,NULL,2,Wilmington,CA
Los Angeles Pierce College,NULL,NULL,17628,1,13224,NULL,2,Woodland Hills,CA
Los Angeles Southwest College,NULL,NULL,5264,1,10084,NULL,2,Los Angeles,CA
Los Angeles Trade Technical College,NULL,NULL,12070,1,11082,NULL,1,Los Angeles,CA
Los Angeles Valley College,NULL,NULL,16170,1,12366,NULL,1,Valley Glen,CA
The Master's College and Seminary,1077,0.6582,1134,2,39243,0.5699,3,Santa Clarita,CA
Los Angeles City College,NULL,NULL,17500,1,10923,NULL,2,Los Angeles,CA
Los Angeles County College of Nursing and Allied Health,NULL,NULL,208,1,NULL,NULL,2,Los Angeles,CA
Los Angeles Mission College,NULL,NULL,8414,1,13536,NULL,2,Sylmar,CA
Los Medanos College,NULL,NULL,7529,1,14136,NULL,2,Pittsburg,CA
The Art Institute of California-Argosy University San Francisco,NULL,0.9901,1440,3,33120,0.3453,3,San Francisco,CA
Loyola Marymount University,1205,0.5016,5962,2,53813,0.7516,3,Los Angeles,CA
Lu Ross Academy,NULL,NULL,121,3,NULL,NULL,1,Ventura,CA
Manchester Beauty College,NULL,NULL,90,3,NULL,NULL,1,Fresno,CA
Tulare Beauty College,NULL,NULL,52,3,NULL,NULL,1,Tulare,CA
Lyles Fresno College of Beauty,NULL,NULL,75,3,NULL,NULL,1,Fresno,CA
Lytles Redwood Empire Beauty College Inc,NULL,NULL,119,3,NULL,NULL,1,Santa Rosa,CA
MTI Business College Inc,NULL,NULL,143,3,NULL,NULL,1,Stockton,CA
MTI College,NULL,NULL,584,3,NULL,NULL,1,Sacramento,CA
Kaplan College-Sacramento,NULL,NULL,553,3,NULL,NULL,1,Sacramento,CA
Kaplan College-San Diego,NULL,NULL,1363,3,NULL,NULL,1,San Diego,CA
Kaplan College-Vista,NULL,NULL,794,3,NULL,NULL,1,Vista,CA
College of Marin,NULL,NULL,5940,1,13922,NULL,2,Kentfield,CA
Marinello Schools of Beauty-Los Angeles,NULL,NULL,2551,3,NULL,NULL,1,Los Angeles,CA
Marymount College,NULL,NULL,1001,2,43238,0.366,2,Rancho Palos Verdes,CA
Mendocino College,NULL,NULL,3197,1,12222,NULL,2,Ukiah,CA
Menlo College,1005,0.9219,714,2,51126,0.3602,3,Atherton,CA
Merced College,NULL,NULL,8964,1,9023,NULL,2,Merced,CA
Merritt College,NULL,NULL,5603,1,15400,NULL,2,Oakland,CA
Mills College,1152,0.6265,937,2,53310,0.6313,3,Oakland,CA
MiraCosta College,NULL,NULL,13974,1,9288,NULL,1,Oceanside,CA
Marinello Schools of Beauty-San Francisco,NULL,NULL,524,3,NULL,NULL,1,San Francisco,CA
Mission College,NULL,NULL,8167,1,13078,NULL,2,Santa Clara,CA
Modern Beauty Academy,NULL,NULL,41,3,NULL,NULL,1,Oxnard,CA
Kaplan College-North Hollywood,NULL,NULL,870,3,NULL,NULL,1,North Hollywood,CA
Modesto Junior College,NULL,NULL,15730,1,12672,NULL,2,Modesto,CA
Moler Barber College,NULL,NULL,75,3,NULL,NULL,1,Oakland,CA
Monterey Institute of International Studies,NULL,NULL,22,2,NULL,NULL,3,Monterey,CA
Monterey Peninsula College,NULL,NULL,9350,1,13821,NULL,2,Monterey,CA
Moorpark College,NULL,NULL,13782,1,8548,NULL,1,Moorpark,CA
Mt. San Antonio College,NULL,NULL,25454,1,9677,NULL,2,Walnut,CA
Mount St. Mary's College,918,0.6006,2445,2,46117,0.5739,3,Los Angeles,CA
Mt. San Jacinto Community College District,NULL,NULL,13165,1,11978,NULL,2,San Jacinto,CA
Mueller College,NULL,NULL,161,3,32477,NULL,1,San Diego,CA
Musicians Institute,NULL,0.9632,1253,3,38814,0.5334,1,Hollywood,CA
Napa Valley College,NULL,NULL,5623,1,14974,NULL,2,Napa,CA
Everest College-San Francisco,NULL,NULL,317,3,NULL,NULL,1,San Francisco,CA
Everest College-Reseda,NULL,NULL,699,3,23560,NULL,1,Reseda,CA
Everest College-LA Wilshire,NULL,NULL,279,3,27110,NULL,1,Los Angeles,CA
Everest College-San Jose,NULL,NULL,301,3,NULL,NULL,1,San Jose,CA
Everest College-Gardena,NULL,NULL,533,3,NULL,NULL,1,Gardena,CA
Everest College-Alhambra,NULL,NULL,668,3,NULL,NULL,1,Alhambra,CA
Everest College-San Bernardino,NULL,NULL,820,3,24832,NULL,1,San Bernardino,CA
The National Hispanic University,NULL,NULL,500,3,19075,0.3281,1,San Jose,CA
National Holistic Institute,NULL,NULL,250,3,NULL,NULL,1,Emeryville,CA
National University,NULL,NULL,9200,2,23953,0.5263,3,La Jolla,CA
Newschool of Architecture and Design,NULL,0.4938,389,3,41795,0.3158,3,San Diego,CA
Newberry School of Beauty,NULL,NULL,198,3,NULL,NULL,1,Granada Hills,CA
North Adrians Beauty College,NULL,NULL,277,3,NULL,NULL,1,Modesto,CA
North-West College-Pomona,NULL,1,324,3,NULL,NULL,1,Pomona,CA
North-West College-West Covina,NULL,1,549,3,NULL,NULL,1,West Covina,CA
North-West College-Pasadena,NULL,1,207,3,NULL,NULL,1,Pasadena,CA
Notre Dame de Namur University,957,0.7478,1180,2,47344,0.4701,3,Belmont,CA
Occidental College,1312,0.3932,2166,2,58343,0.8428,3,Los Angeles,CA
Oceanside College of Beauty,NULL,NULL,81,3,NULL,NULL,1,Oceanside,CA
Ohlone Community College,NULL,NULL,8478,1,14551,NULL,2,Fremont,CA
Orange Coast College,NULL,NULL,19842,1,15933,NULL,2,Costa Mesa,CA
Otis College of Art and Design,1036,0.5492,1100,2,49176,0.5313,3,Los Angeles,CA
Oxnard College,NULL,NULL,6471,1,9562,NULL,2,Oxnard,CA
Hope International University,953,0.5187,902,2,37856,0.3976,3,Fullerton,CA
Concorde Career College-San Diego,NULL,1,649,3,NULL,NULL,1,San Diego,CA
Palo Alto University,NULL,NULL,170,2,NULL,NULL,3,Palo Alto,CA
Pacific Lutheran Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Pacific Oaks College,NULL,NULL,374,2,NULL,NULL,3,Pasadena,CA
Pacific School of Religion,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Pacific States University,NULL,NULL,19,2,NULL,0.7143,3,Los Angeles,CA
Pacific Union College,1008,0.4727,1524,2,37936,0.4331,3,Angwin,CA
University of the Pacific,1199,0.3778,3854,2,49827,0.5794,3,Stockton,CA
Palo Verde College,NULL,NULL,2508,1,12926,NULL,1,Blythe,CA
Palomar College,NULL,NULL,22640,1,11131,NULL,2,San Marcos,CA
Paris Beauty College,NULL,NULL,115,3,NULL,NULL,1,Concord,CA
Pasadena City College,NULL,NULL,21328,1,11279,NULL,2,Pasadena,CA
Pepperdine University,1230,0.3845,3480,2,55296,0.8094,3,Malibu,CA
Pitzer College,1280,0.1608,1084,2,56988,0.8667,3,Claremont,CA
Platt College-San Diego,NULL,NULL,409,3,39864,0.6538,2,San Diego,CA
Point Loma Nazarene University,1159,0.5594,2410,2,41471,0.7505,3,San Diego,CA
Pomona College,1432,0.1296,1585,2,55319,0.9577,3,Claremont,CA
Porterville College,NULL,NULL,3445,1,8265,NULL,2,Porterville,CA
Westwood College-South Bay,NULL,0.6238,659,3,29138,0.5926,3,Torrance,CA
Professional Institute of Beauty,NULL,NULL,135,3,NULL,NULL,1,El Monte,CA
Santa Ana College,NULL,NULL,30207,1,8594,NULL,2,Santa Ana,CA
Pardee RAND Graduate School,NULL,NULL,NULL,2,NULL,NULL,4,Santa Monica,CA
Shasta School of Cosmetology,NULL,NULL,80,3,NULL,NULL,1,Redding,CA
University of Redlands,1135,0.6482,3346,2,52314,0.7185,3,Redlands,CA
College of the Redwoods,NULL,NULL,3248,1,11143,NULL,2,Eureka,CA
Salon Success Academy-Upland,NULL,NULL,255,3,NULL,NULL,1,Upland,CA
Salon Success Academy-Corona,NULL,NULL,121,3,NULL,NULL,1,Corona,CA
Rio Hondo College,NULL,NULL,15831,1,10788,NULL,2,Whittier,CA
Riverside City College,NULL,NULL,15382,1,11676,NULL,2,Riverside,CA
Argosy University-San Francisco Bay Area,NULL,NULL,146,3,25253,NULL,3,Alameda,CA
Rosemead Beauty School,NULL,NULL,196,3,NULL,NULL,1,Rosemead,CA
Dongguk University Los Angeles,NULL,NULL,9,2,NULL,NULL,4,Los Angeles,CA
Sacramento City College,NULL,NULL,22510,1,11641,NULL,2,Sacramento,CA
Saddleback College,NULL,NULL,20091,1,15588,NULL,1,Mission Viejo,CA
Samuel Merritt University,NULL,NULL,520,2,NULL,NULL,3,Oakland,CA
San Diego City College,NULL,NULL,14254,1,11417,NULL,2,San Diego,CA
Golf Academy of America-Carlsbad,NULL,NULL,260,3,28920,NULL,2,Carlsbad,CA
San Diego Mesa College,NULL,NULL,21578,1,11823,NULL,2,San Diego,CA
San Diego Miramar College,NULL,NULL,10107,1,11673,NULL,2,San Diego,CA
San Diego State University,1087,0.3288,25746,1,19560,0.6603,3,San Diego,CA
University of San Diego,1230,0.4259,5369,2,54558,0.7579,3,San Diego,CA
San Francisco Art Institute,1026,0.6282,442,2,53156,0.3182,3,San Francisco,CA
San Francisco Conservatory of Music,NULL,0.4747,184,2,50875,0.6923,3,San Francisco,CA
San Francisco State University,1006,0.6502,25793,1,21498,0.4726,3,San Francisco,CA
San Francisco Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,San Anselmo,CA
University of San Francisco,1138,0.6916,6262,2,53811,0.6738,3,San Francisco,CA
San Joaquin College of Law,NULL,NULL,NULL,2,NULL,NULL,4,Clovis,CA
San Joaquin Delta College,NULL,NULL,14853,1,14084,NULL,2,Stockton,CA
San Joaquin Valley College-Visalia,NULL,NULL,1894,3,23764,NULL,2,Visalia,CA
San Joaquin Valley College-Bakersfield,NULL,NULL,751,3,20830,NULL,2,Bakersfield,CA
William Jessup University,1026,0.6352,976,2,33634,0.3878,3,Rocklin,CA
San Jose City College,NULL,NULL,8361,1,15709,NULL,2,San Jose,CA
San Jose State University,1002,0.7514,25046,1,23671,0.4692,3,San Jose,CA
College of San Mateo,NULL,NULL,8576,1,11859,NULL,1,San Mateo,CA
Santa Barbara Business College-Bakersfield,NULL,NULL,602,3,21881,0.6466,2,Bakersfield,CA
Westwood College-Los Angeles,NULL,0.5714,2687,3,29399,0.2331,3,Los Angeles,CA
Santa Barbara Business College-Santa Maria,NULL,NULL,219,3,21516,0.55,1,Santa Maria,CA
Santa Barbara City College,NULL,NULL,15945,1,14698,NULL,2,Santa Barbara,CA
Santa Clara University,1282,0.5444,5205,2,55278,0.8619,3,Santa Clara,CA
Santa Monica College,NULL,NULL,27962,1,10309,NULL,1,Santa Monica,CA
Santa Rosa Junior College,NULL,NULL,20435,1,12348,NULL,1,Santa Rosa,CA
Saybrook University,NULL,NULL,NULL,2,NULL,NULL,4,San Francisco,CA
Scripps College,1343,0.3241,935,2,56700,0.9013,3,Claremont,CA
Wyotech-Fremont,NULL,NULL,1452,3,NULL,NULL,1,Fremont,CA
College of the Sequoias,NULL,NULL,9883,1,7530,NULL,2,Visalia,CA
Shasta Bible College and Graduate School,NULL,1,52,2,22528,0.5,3,Redding,CA
Shasta College,NULL,NULL,7665,1,10207,NULL,2,Redding,CA
Sierra College,NULL,NULL,16913,1,12820,NULL,2,Rocklin,CA
Sierra College of Beauty,NULL,NULL,164,3,NULL,NULL,1,Merced,CA
Sierra Valley College of Court Reporting,NULL,NULL,153,3,22763,NULL,1,Fresno,CA
Trinity Law School,NULL,NULL,NULL,2,NULL,NULL,4,Santa Ana,CA
Simpson University,1006,0.6047,1033,2,32996,0.407,3,Redding,CA
College of the Siskiyous,NULL,NULL,1800,1,12301,NULL,2,Weed,CA
Charles A. Jones Career and Education Center,NULL,NULL,1369,1,NULL,NULL,1,Sacramento,CA
Skyline College,NULL,NULL,8443,1,10214,NULL,2,San Bruno,CA
San Bernardino Valley College,NULL,NULL,10832,1,11843,NULL,2,San Bernardino,CA
Saint Marys College of California,1111,0.6566,3017,2,54692,0.62,3,Moraga,CA
Solano Community College,NULL,NULL,8528,1,11733,NULL,2,Fairfield,CA
Sonoma State University,1010,0.849,8084,1,23441,0.5486,3,Rohnert Park,CA
Pinnacle College,NULL,NULL,161,3,NULL,NULL,1,Alhambra,CA
South Baylo University,NULL,NULL,132,2,NULL,NULL,3,Anaheim,CA
South Coast College,NULL,NULL,392,3,NULL,NULL,1,Orange,CA
Vanguard University of Southern California,995,0.6708,1957,2,40414,0.5436,3,Costa Mesa,CA
Concorde Career College-Garden Grove,NULL,1,1006,3,NULL,NULL,1,Garden Grove,CA
Southwestern College,NULL,NULL,15551,1,10613,NULL,2,Chula Vista,CA
Starr King School for Ministry,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Southern California College of Optometry,NULL,NULL,NULL,2,NULL,NULL,4,Fullerton,CA
Southern California Institute of Architecture,1131,0.7986,278,2,45448,0.881,3,Los Angeles,CA
University of Southern California,1377,0.1993,17994,2,57772,0.9019,3,Los Angeles,CA
Southwestern Law School,NULL,NULL,NULL,2,NULL,NULL,4,Los Angeles,CA
Taft College,NULL,NULL,5080,1,11531,NULL,2,Taft,CA
Claremont School of Theology,NULL,NULL,NULL,2,NULL,NULL,4,Claremont,CA
Thomas Aquinas College,1259,0.8012,370,2,33962,0.7614,3,Santa Paula,CA
Marinello Schools of Beauty-Lake Forest,NULL,NULL,398,3,NULL,NULL,1,Lake Forest,CA
Epic Bible College,NULL,1,271,2,25906,0.4,2,Sacramento,CA
United Education Institute-Huntington Park Campus,NULL,1,796,3,NULL,NULL,1,Huntington Park,CA
Concorde Career College-San Bernardino,NULL,1,911,3,NULL,NULL,1,San Bernardino,CA
Universal College of Beauty Inc-Los Angeles 1,NULL,NULL,39,3,NULL,NULL,1,Los Angeles,CA
Concorde Career College-North Hollywood,NULL,1,1050,3,NULL,NULL,1,North Hollywood,CA
Ventura College,NULL,NULL,11776,1,8673,NULL,2,Ventura,CA
Victor Valley Beauty College Inc,NULL,NULL,110,3,NULL,NULL,1,Victorville,CA
Victor Valley College,NULL,NULL,10301,1,12619,NULL,2,Victorville,CA
Berkeley City College,NULL,NULL,5332,1,10612,NULL,2,Berkeley,CA
Walden University,NULL,NULL,8558,3,NULL,NULL,3,Minneapolis,MN
Waynes College of Beauty,NULL,NULL,33,3,NULL,NULL,1,Salinas,CA
West Hills College Coalinga,NULL,NULL,2384,1,9935,NULL,2,Coalinga,CA
West Los Angeles College,NULL,NULL,9207,1,11895,NULL,2,Culver City,CA
West Valley College,NULL,NULL,9043,1,13846,NULL,2,Saratoga,CA
Carrington College California-Sacramento,NULL,0.7044,1392,3,NULL,NULL,1,Sacramento,CA
Westminster Theological Seminary in California,NULL,NULL,NULL,2,NULL,NULL,4,Escondido,CA
Westmont College,1199,0.6604,1336,2,49990,0.7914,3,Santa Barbara,CA
Whittier College,1053,0.6359,1583,2,50135,0.6715,3,Whittier,CA
Woodbury University,975,0.7613,1424,2,41046,0.5865,3,Burbank,CA
The Wright Institute,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Western State University-College of Law-Argosy,NULL,NULL,NULL,3,NULL,NULL,4,Fullerton,CA
Thomas Jefferson School of Law,NULL,NULL,NULL,2,NULL,NULL,4,San Diego,CA
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,NULL,1,146,2,23000,0.3636,3,Los Angeles,CA
Yuba College,NULL,NULL,6483,1,10679,NULL,2,Marysville,CA
The Salon Professional Academy-Grand Junction,NULL,NULL,82,3,NULL,NULL,1,Grand Junction,CO
Adams State University,969,0.6066,2382,1,16681,0.2073,3,Alamosa,CO
Aims Community College,NULL,NULL,4156,1,13965,NULL,1,Greeley,CO
Arapahoe Community College,NULL,NULL,9924,1,13753,NULL,1,Littleton,CO
Bel-Rea Institute of Animal Technology,NULL,0.85,682,3,22948,NULL,2,Denver,CO
Everest College-Colorado Springs,NULL,NULL,435,3,23863,NULL,1,Colorado Springs,CO
Boulder College of Massage Therapy,NULL,NULL,140,2,25661,NULL,1,Boulder,CO
University of Colorado Denver,1073,0.7408,10558,1,21774,0.4486,3,Denver,CO
University of Colorado Colorado Springs,1073,0.596,8118,1,17909,0.4661,3,Colorado Springs,CO
Redstone College,NULL,NULL,651,3,24229,NULL,2,Broomfield,CO
University of Colorado Boulder,1169,0.8357,25217,1,27236,0.68,3,Boulder,CO
Colorado Christian University,NULL,0.8343,3171,2,36046,0.4135,3,Lakewood,CO
Colorado College,1337,0.2299,1983,2,52150,0.8984,3,Colorado Springs,CO
Concorde Career College-Aurora,NULL,1,764,3,NULL,NULL,1,Aurora,CO
The Art Institute of Colorado,NULL,0.696,1972,3,30654,0.371,1,Denver,CO
Colorado Mountain College,NULL,NULL,3467,1,8677,0.2161,1,Glenwood Springs,CO
Colorado Northwestern Community College,NULL,NULL,896,1,15902,NULL,1,Rangely,CO
Colorado School of Mines,1297,0.4455,4062,1,26748,0.6654,3,Golden,CO
Colorado School of Trades,NULL,NULL,187,3,NULL,NULL,2,Lakewood,CO
Colorado State University-Fort Collins,1129,0.7471,22424,1,20152,0.6282,3,Fort Collins,CO
Colorado Technical University-Colorado Springs,NULL,NULL,1473,3,22256,0.0952,3,Colorado Springs,CO
Empire Beauty School-Lakewood,NULL,NULL,52,3,NULL,NULL,1,Lakewood,CO
Community College of Aurora,NULL,NULL,6185,1,23988,NULL,2,Aurora,CO
College America-Denver,NULL,NULL,581,3,21886,0.5396,2,Denver,CO
Delta Montrose Technical College,NULL,NULL,221,1,NULL,NULL,1,Delta,CO
Prince Institute-Rocky Mountains,NULL,NULL,35,3,22856,NULL,2,Westminster,CO
Community College of Denver,NULL,NULL,8933,1,14502,NULL,2,Denver,CO
Lincoln College of Technology-Denver,NULL,NULL,1436,3,NULL,NULL,1,Denver,CO
Denver Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Littleton,CO
Westwood College-Denver North,NULL,0.5643,455,3,25971,0.3889,3,Denver,CO
University of Denver,1230,0.6764,5379,2,52400,0.7621,3,Denver,CO
Emily Griffith Technical College,NULL,NULL,2597,1,NULL,NULL,1,Denver,CO
Fort Lewis College,1021,0.885,3719,1,18410,0.3825,3,Durango,CO
Front Range Community College,NULL,NULL,18506,1,16205,NULL,1,Westminster,CO
Glenwood Beauty Academy,NULL,NULL,65,3,NULL,NULL,1,Glenwood Springs,CO
Hair Dynamics Education Center,NULL,NULL,201,3,NULL,NULL,1,Fort Collins,CO
Iliff School of Theology,NULL,NULL,NULL,2,NULL,NULL,4,Denver,CO
International Salon and Spa Academy,NULL,NULL,256,3,NULL,NULL,1,Colorado Springs,CO
Lamar Community College,NULL,NULL,903,1,15709,NULL,2,Lamar,CO
