INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Emperor's College of Traditional Oriental Medicine,NULL,NULL,NULL,3,NULL,NULL,4,Santa Monica,CA
Empire College School of Business,NULL,NULL,412,3,NULL,NULL,1,Santa Rosa,CA
Evergreen Valley College,NULL,NULL,7472,1,14405,NULL,2,San Jose,CA
Fashion Institute of Design & Merchandising-Los Angeles,NULL,0.5701,3459,3,42958,0.6196,2,Los Angeles,CA
Fashion Institute of Design & Merchandising-San Francisco,NULL,0.6358,637,3,42052,0.5667,2,San Francisco,CA
Fashion Institute of Design & Merchandising-Orange County,NULL,0.6915,214,3,38721,NULL,2,Irvine,CA
Feather River Community College District,NULL,NULL,1444,1,14923,NULL,2,Quincy,CA
Federico Beauty Institute,NULL,NULL,246,3,NULL,NULL,1,Sacramento,CA
Fielding Graduate University,NULL,NULL,NULL,2,NULL,NULL,4,Santa Barbara,CA
Five Branches University,NULL,NULL,NULL,3,NULL,NULL,4,Santa Cruz,CA
Hair California Beauty Academy,NULL,NULL,47,3,NULL,NULL,1,Orange,CA
Foothill College,NULL,NULL,13362,1,10399,NULL,2,Los Altos Hills,CA
Franciscan School of Theology,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Fredrick and Charles Beauty College,NULL,NULL,83,3,NULL,NULL,1,Eureka,CA
Fresno City College,NULL,NULL,18888,1,10821,NULL,2,Fresno,CA
Fresno Pacific University,979,0.7844,2496,2,33973,0.5412,3,Fresno,CA
Fuller Theological Seminary in California,NULL,NULL,NULL,2,NULL,NULL,4,Pasadena,CA
Fullerton College,NULL,NULL,22295,1,10651,NULL,2,Fullerton,CA
Gavilan College,NULL,NULL,5267,1,11544,NULL,2,Gilroy,CA
Gemological Institute of America-Carlsbad,NULL,NULL,192,2,NULL,NULL,1,Carlsbad,CA
Glendale Community College,NULL,NULL,14102,1,8875,NULL,2,Glendale,CA
Glendale Career College,NULL,1,293,3,NULL,NULL,1,Glendale,CA
Golden Gate University-San Francisco,NULL,NULL,470,2,NULL,NULL,3,San Francisco,CA
Golden West College,NULL,NULL,11689,1,16230,NULL,1,Huntington Beach,CA
Graduate Theological Union,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Grossmont College,NULL,NULL,17042,1,7759,NULL,2,El Cajon,CA
Salon Success Academy-San Bernardino,NULL,NULL,30,3,NULL,NULL,1,San Bernardino,CA
Hartnell College,NULL,NULL,8829,1,14629,NULL,2,Salinas,CA
Harvey Mudd College,1483,0.1817,803,2,60613,0.9082,3,Claremont,CA
Heald College-Rancho Cordova,NULL,NULL,1146,3,24503,NULL,2,Rancho Cordova,CA
Heald College-Fresno,NULL,NULL,1791,3,23046,NULL,2,Fresno,CA
Heald College-San Jose,NULL,NULL,1668,3,23209,NULL,2,Milpitas,CA
Heald College-San Francisco,NULL,NULL,1070,3,23587,NULL,2,San Francisco,CA
Heald College-Concord,NULL,NULL,1502,3,22720,NULL,2,Concord,CA
Hilltop Beauty School,NULL,NULL,126,3,NULL,NULL,1,Daly City,CA
Holy Names University,910,0.5668,800,2,46994,0.3548,3,Oakland,CA
Pacifica Graduate Institute,NULL,NULL,NULL,3,NULL,NULL,4,Carpinteria,CA
Humboldt State University,1008,0.8018,7748,1,23113,0.4004,3,Arcata,CA
Humphreys College-Stockton and Modesto Campuses,NULL,NULL,757,2,21029,0.931,3,Stockton,CA
Imperial Valley College,NULL,NULL,6663,1,9327,NULL,2,Imperial,CA
Institute for Business and Technology,NULL,NULL,173,3,NULL,NULL,1,Santa Clara,CA
Interior Designers Institute,NULL,NULL,293,3,NULL,NULL,1,Newport Beach,CA
Toni & Guy Hairdressing Academy-Santa Monica,NULL,NULL,268,3,NULL,NULL,1,Santa Monica,CA
Irvine Valley College,NULL,NULL,11725,1,16598,NULL,1,Irvine,CA
ITT Technical Institute-National City,NULL,0.9298,1209,3,26686,0.2704,2,National City,CA
ITT Technical Institute-San Dimas,NULL,0.9617,534,3,26194,0.3874,2,San Dimas,CA
ITT Technical Institute-Orange,NULL,0.91,823,3,25603,0.3663,2,Orange,CA
Bellus Academy-El Cajon,NULL,NULL,184,3,NULL,NULL,1,El Cajon,CA
John F Kennedy University,NULL,NULL,271,2,NULL,NULL,3,Pleasant Hill,CA
American Jewish University,NULL,0.59,109,2,46466,0.8125,3,Los Angeles,CA
Reedley College,NULL,NULL,12081,1,10026,NULL,2,Reedley,CA
Life Pacific College,930,0.7482,475,2,24492,0.5111,3,San Dimas,CA
The Art Institute of California-Argosy University San Diego,NULL,NULL,1869,3,30521,0.4254,3,San Diego,CA
University of La Verne,1035,0.3895,5128,2,45305,0.5928,3,La Verne,CA
Laguna College of Art and Design,NULL,0.4327,514,2,39713,0.6333,3,Laguna Beach,CA
Lake Tahoe Community College,NULL,NULL,2155,1,9836,NULL,2,South Lake Tahoe,CA
Lancaster Beauty School,NULL,NULL,93,3,NULL,NULL,1,Lancaster,CA
Laney College,NULL,NULL,10140,1,14398,NULL,2,Oakland,CA
Lassen Community College,NULL,NULL,2290,1,13925,NULL,2,Susanville,CA
Life Chiropractic College West,NULL,NULL,NULL,2,NULL,NULL,4,Hayward,CA
Lincoln University,NULL,NULL,97,2,20725,0.7576,2,Oakland,CA
Southern California Seminary,NULL,NULL,68,2,NULL,0,3,El Cajon,CA
La Sierra University,926,0.4677,2060,2,39842,0.4918,3,Riverside,CA
Loma Linda University,NULL,NULL,1101,2,NULL,NULL,3,Loma Linda,CA
Long Beach City College,NULL,NULL,22475,1,10615,NULL,1,Long Beach,CA
Southern California University of Health Sciences,NULL,NULL,0,2,NULL,NULL,4,Whittier,CA
Los Angeles Harbor College,NULL,NULL,8719,1,13977,NULL,2,Wilmington,CA
Los Angeles Pierce College,NULL,NULL,17528,1,14213,NULL,2,Woodland Hills,CA
Los Angeles Southwest College,NULL,NULL,6129,1,11945,NULL,2,Los Angeles,CA
Los Angeles Trade Technical College,NULL,NULL,12033,1,11030,NULL,1,Los Angeles,CA
Los Angeles Valley College,NULL,NULL,16111,1,13353,NULL,1,Valley Glen,CA
The Master's College and Seminary,1104,0.6137,1112,2,40815,0.5362,3,Santa Clarita,CA
Los Angeles City College,NULL,NULL,16485,1,11090,NULL,2,Los Angeles,CA
Los Angeles County College of Nursing and Allied Health,NULL,NULL,182,1,NULL,NULL,2,Los Angeles,CA
Los Angeles Mission College,NULL,NULL,7931,1,13281,NULL,2,Sylmar,CA
Los Medanos College,NULL,NULL,7502,1,14140,NULL,2,Pittsburg,CA
The Art Institute of California-Argosy University San Francisco,NULL,NULL,1304,3,33206,0.3604,3,San Francisco,CA
Loyola Marymount University,1202,0.5412,6087,2,55432,0.7583,3,Los Angeles,CA
Lu Ross Academy,NULL,NULL,186,3,NULL,NULL,1,Ventura,CA
Manchester Beauty College,NULL,NULL,67,3,NULL,NULL,1,Fresno,CA
Tulare Beauty College,NULL,NULL,36,3,NULL,NULL,1,Tulare,CA
Lyles Fresno College of Beauty,NULL,NULL,56,3,NULL,NULL,1,Fresno,CA
Lytles Redwood Empire Beauty College Inc,NULL,NULL,126,3,NULL,NULL,1,Santa Rosa,CA
MTI Business College Inc,NULL,NULL,138,3,NULL,NULL,1,Stockton,CA
MTI College,NULL,NULL,594,3,NULL,NULL,1,Sacramento,CA
Kaplan College-Sacramento,NULL,NULL,520,3,NULL,NULL,1,Sacramento,CA
Kaplan College-San Diego,NULL,NULL,1335,3,NULL,NULL,1,San Diego,CA
Kaplan College-Vista,NULL,NULL,890,3,NULL,NULL,1,Vista,CA
College of Marin,NULL,NULL,5040,1,13794,NULL,2,Kentfield,CA
Marinello Schools of Beauty-Los Angeles,NULL,NULL,2405,3,NULL,NULL,1,Los Angeles,CA
Marymount California University,NULL,NULL,1033,2,44406,0.3144,2,Rancho Palos Verdes,CA
Mendocino College,NULL,NULL,3130,1,14316,NULL,2,Ukiah,CA
Menlo College,1001,0.3705,742,2,51649,0.4076,3,Atherton,CA
Merced College,NULL,NULL,9163,1,9094,NULL,2,Merced,CA
Merritt College,NULL,NULL,5435,1,15651,NULL,2,Oakland,CA
Mills College,1151,0.6798,974,2,54668,0.6142,3,Oakland,CA
MiraCosta College,NULL,NULL,13846,1,9338,NULL,1,Oceanside,CA
Marinello Schools of Beauty-San Francisco,NULL,NULL,616,3,NULL,NULL,1,San Francisco,CA
Mission College,NULL,NULL,7467,1,13902,NULL,2,Santa Clara,CA
Modern Beauty Academy,NULL,NULL,48,3,NULL,NULL,1,Oxnard,CA
Kaplan College-North Hollywood,NULL,NULL,786,3,NULL,NULL,1,North Hollywood,CA
Modesto Junior College,NULL,NULL,15904,1,12734,NULL,2,Modesto,CA
Moler Barber College,NULL,NULL,76,3,NULL,NULL,1,Oakland,CA
Monterey Institute of International Studies,NULL,NULL,22,2,NULL,NULL,3,Monterey,CA
Monterey Peninsula College,NULL,NULL,8781,1,12092,NULL,2,Monterey,CA
Moorpark College,NULL,NULL,13437,1,8501,NULL,2,Moorpark,CA
Mt San Antonio College,NULL,NULL,25800,1,9281,NULL,2,Walnut,CA
Mount St Mary's College,928,0.7409,2617,2,47905,0.6379,3,Los Angeles,CA
Mt San Jacinto Community College District,NULL,NULL,13324,1,12010,NULL,2,San Jacinto,CA
Mueller College,NULL,NULL,105,3,34305,NULL,1,San Diego,CA
Musicians Institute,NULL,0.9888,1166,3,39155,0.537,1,Hollywood,CA
Napa Valley College,NULL,NULL,5707,1,15178,NULL,2,Napa,CA
Everest College-San Francisco,NULL,NULL,267,3,NULL,NULL,1,San Francisco,CA
Everest College-Reseda,NULL,NULL,696,3,26658,NULL,1,Reseda,CA
Everest College-LA Wilshire,NULL,NULL,232,3,28767,NULL,1,Los Angeles,CA
Everest College-San Jose,NULL,NULL,172,3,NULL,NULL,1,San Jose,CA
Everest College-Gardena,NULL,NULL,494,3,NULL,NULL,1,Gardena,CA
Everest College-Alhambra,NULL,NULL,561,3,NULL,NULL,1,Alhambra,CA
Everest College-San Bernardino,NULL,NULL,747,3,30116,NULL,1,San Bernardino,CA
The National Hispanic University,NULL,NULL,434,3,22545,0.4565,3,San Jose,CA
National Holistic Institute,NULL,NULL,764,3,NULL,NULL,1,Emeryville,CA
National University,NULL,NULL,9788,2,23859,0.3125,3,La Jolla,CA
Newschool of Architecture and Design,NULL,0.7949,375,3,43957,0.35,3,San Diego,CA
Newberry School of Beauty,NULL,NULL,153,3,NULL,NULL,1,Granada Hills,CA
Adrian's College of Beauty Modesto,NULL,NULL,275,3,NULL,NULL,1,Modesto,CA
North-West College-Pomona,NULL,1,280,3,NULL,NULL,1,Pomona,CA
North-West College-West Covina,NULL,1,550,3,NULL,NULL,1,West Covina,CA
North-West College-Pasadena,NULL,1,193,3,NULL,NULL,1,Pasadena,CA
Notre Dame de Namur University,972,0.872,1209,2,47115,0.4792,3,Belmont,CA
Occidental College,1303,0.4239,2101,2,60655,0.8777,3,Los Angeles,CA
Oceanside College of Beauty,NULL,NULL,70,3,NULL,NULL,1,Oceanside,CA
Ohlone College,NULL,NULL,9184,1,16039,NULL,2,Fremont,CA
Orange Coast College,NULL,NULL,20521,1,16053,NULL,2,Costa Mesa,CA
Otis College of Art and Design,1002,0.4628,1029,2,52397,0.5731,3,Los Angeles,CA
Oxnard College,NULL,NULL,6450,1,9675,NULL,2,Oxnard,CA
Hope International University,951,0.4681,872,2,40303,0.4508,3,Fullerton,CA
Concorde Career College-San Diego,NULL,1,895,3,NULL,NULL,1,San Diego,CA
Palo Alto University,NULL,NULL,191,2,NULL,NULL,3,Palo Alto,CA
Pacific Lutheran Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Pacific Oaks College,NULL,NULL,415,2,NULL,NULL,3,Pasadena,CA
Pacific School of Religion,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Pacific States University,NULL,NULL,14,2,32140,1,3,Los Angeles,CA
Pacific Union College,1017,0.5055,1601,2,38800,0.4452,3,Angwin,CA
University of the Pacific,1172,0.7265,3869,2,52406,0.5669,3,Stockton,CA
Palo Verde College,NULL,NULL,2946,1,12973,NULL,1,Blythe,CA
Palomar College,NULL,NULL,22535,1,11208,NULL,1,San Marcos,CA
Paris Beauty College,NULL,NULL,99,3,NULL,NULL,1,Concord,CA
Pasadena City College,NULL,NULL,23437,1,11751,NULL,2,Pasadena,CA
Pepperdine University,1235,0.3734,3516,2,58772,0.8043,3,Malibu,CA
Pitzer College,NULL,0.1451,1081,2,59266,0.8214,3,Claremont,CA
Platt College-San Diego,NULL,NULL,369,3,40468,0.7273,2,San Diego,CA
Point Loma Nazarene University,1155,0.6654,2543,2,43060,0.7208,3,San Diego,CA
Pomona College,1454,0.1392,1587,2,57014,0.9573,3,Claremont,CA
Porterville College,NULL,NULL,3339,1,9019,NULL,2,Porterville,CA
Westwood College-South Bay,NULL,NULL,571,3,29458,0.5974,3,Torrance,CA
Professional Institute of Beauty,NULL,NULL,108,3,NULL,NULL,1,El Monte,CA
Santa Ana College,NULL,NULL,25559,1,8434,NULL,2,Santa Ana,CA
Pardee RAND Graduate School,NULL,NULL,NULL,2,NULL,NULL,4,Santa Monica,CA
Shasta School of Cosmetology,NULL,NULL,71,3,NULL,NULL,1,Redding,CA
University of Redlands,1135,0.672,3462,2,55268,0.7295,3,Redlands,CA
College of the Redwoods,NULL,NULL,2585,1,11166,NULL,2,Eureka,CA
Salon Success Academy-Upland,NULL,NULL,228,3,NULL,NULL,1,Upland,CA
Salon Success Academy-Corona,NULL,NULL,129,3,NULL,NULL,1,Corona,CA
Rio Hondo College,NULL,NULL,14709,1,11181,NULL,2,Whittier,CA
Riverside City College,NULL,NULL,16243,1,12410,NULL,2,Riverside,CA
Argosy University-San Francisco Bay Area,NULL,NULL,168,3,27325,NULL,3,Alameda,CA
Rosemead Beauty School,NULL,NULL,210,3,NULL,NULL,1,Rosemead,CA
Dongguk University-Los Angeles,NULL,NULL,9,2,NULL,NULL,4,Los Angeles,CA
Sacramento City College,NULL,NULL,21765,1,12334,NULL,2,Sacramento,CA
Saddleback College,NULL,NULL,19229,1,14906,NULL,1,Mission Viejo,CA
Samuel Merritt University,NULL,NULL,506,2,NULL,NULL,3,Oakland,CA
San Diego City College,NULL,NULL,14054,1,12291,NULL,2,San Diego,CA
Golf Academy of America-Carlsbad,NULL,NULL,230,3,26489,NULL,2,Carlsbad,CA
San Diego Mesa College,NULL,NULL,21314,1,12796,NULL,2,San Diego,CA
San Diego Miramar College,NULL,NULL,10709,1,11969,NULL,2,San Diego,CA
San Diego State University,1090,0.3121,26625,1,20252,0.6616,3,San Diego,CA
University of San Diego,1228,0.4885,5573,2,56346,0.7502,3,San Diego,CA
San Francisco Art Institute,1061,0.8269,468,2,55809,0.2881,3,San Francisco,CA
San Francisco Conservatory of Music,NULL,0.3986,172,2,52260,0.6852,3,San Francisco,CA
San Francisco State University,998,0.6379,25271,1,22267,0.455,3,San Francisco,CA
San Francisco Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,San Anselmo,CA
University of San Francisco,1161,0.6129,6308,2,55812,0.6901,3,San Francisco,CA
San Joaquin College of Law,NULL,NULL,NULL,2,NULL,NULL,4,Clovis,CA
San Joaquin Delta College,NULL,NULL,15393,1,14951,NULL,2,Stockton,CA
San Joaquin Valley College-Visalia,NULL,NULL,1616,3,26654,NULL,2,Visalia,CA
San Joaquin Valley College-Bakersfield,NULL,NULL,642,3,22188,NULL,2,Bakersfield,CA
William Jessup University,1039,0.6929,1029,2,34811,0.5614,3,Rocklin,CA
San Jose City College,NULL,NULL,7960,1,15067,NULL,2,San Jose,CA
San Jose State University,1030,0.6347,25723,1,21160,0.4809,3,San Jose,CA
College of San Mateo,NULL,NULL,8378,1,11925,NULL,1,San Mateo,CA
Santa Barbara Business College-Bakersfield,NULL,NULL,543,3,23144,0.6684,2,Bakersfield,CA
Westwood College-Los Angeles,NULL,NULL,661,3,29745,0.35,3,Los Angeles,CA
Santa Barbara Business College-Santa Maria,NULL,NULL,188,3,21409,0.7576,1,Santa Maria,CA
Santa Barbara City College,NULL,NULL,16042,1,15367,NULL,2,Santa Barbara,CA
Santa Clara University,1294,0.5122,5404,2,57213,0.8401,3,Santa Clara,CA
Santa Monica College,NULL,NULL,27747,1,12202,NULL,1,Santa Monica,CA
Santa Rosa Junior College,NULL,NULL,19533,1,12722,NULL,1,Santa Rosa,CA
Saybrook University,NULL,NULL,NULL,2,NULL,NULL,4,San Francisco,CA
Scripps College,1364,0.357,980,2,58888,0.8414,3,Claremont,CA
Wyotech-Fremont,NULL,NULL,1199,3,NULL,NULL,1,Fremont,CA
College of the Sequoias,NULL,NULL,9747,1,7604,NULL,2,Visalia,CA
Shasta Bible College and Graduate School,NULL,1,45,2,24984,0.3125,3,Redding,CA
Shasta College,NULL,NULL,7358,1,10855,NULL,2,Redding,CA
Sierra College,NULL,NULL,17195,1,13157,NULL,2,Rocklin,CA
Sierra College of Beauty,NULL,NULL,181,3,NULL,NULL,1,Merced,CA
Sierra Valley College of Court Reporting,NULL,NULL,137,3,25046,NULL,1,Fresno,CA
Trinity Law School,NULL,NULL,NULL,2,NULL,NULL,4,Santa Ana,CA
Simpson University,1030,0.555,1024,2,33889,0.4724,3,Redding,CA
College of the Siskiyous,NULL,NULL,2168,1,13115,NULL,2,Weed,CA
Charles A Jones Career and Education Center,NULL,NULL,1032,1,NULL,NULL,1,Sacramento,CA
Skyline College,NULL,NULL,8859,1,9778,NULL,2,San Bruno,CA
San Bernardino Valley College,NULL,NULL,11057,1,12483,NULL,2,San Bernardino,CA
Saint Mary's College of California,1115,0.6947,3039,2,56500,0.675,3,Moraga,CA
Solano Community College,NULL,NULL,8341,1,12671,NULL,2,Fairfield,CA
Sonoma State University,1006,0.8186,8321,1,23675,0.5392,3,Rohnert Park,CA
Pinnacle College,NULL,NULL,147,3,NULL,NULL,1,Alhambra,CA
South Baylo University,NULL,NULL,125,2,NULL,NULL,3,Anaheim,CA
South Coast College,NULL,NULL,374,3,NULL,NULL,1,Orange,CA
Vanguard University of Southern California,980,0.6977,2057,2,41952,0.5232,3,Costa Mesa,CA
Concorde Career College-Garden Grove,NULL,1,898,3,NULL,NULL,1,Garden Grove,CA
Southwestern College,NULL,NULL,17611,1,10665,NULL,2,Chula Vista,CA
Starr King School for Ministry,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Marshall B Ketchum University,NULL,NULL,NULL,2,NULL,NULL,4,Fullerton,CA
Southern California Institute of Architecture,1137,0.8667,237,2,50373,0.5,3,Los Angeles,CA
University of Southern California,1380,0.1984,18087,2,59787,0.9117,3,Los Angeles,CA
Southwestern Law School,NULL,NULL,NULL,2,NULL,NULL,4,Los Angeles,CA
Taft College,NULL,NULL,5047,1,11975,NULL,2,Taft,CA
Claremont School of Theology,NULL,NULL,NULL,2,NULL,NULL,4,Claremont,CA
Thomas Aquinas College,1243,0.7921,366,2,35056,0.7955,3,Santa Paula,CA
Marinello Schools of Beauty-Lake Forest,NULL,NULL,567,3,NULL,NULL,1,Lake Forest,CA
Epic Bible College,NULL,0.79,263,2,24692,0.1818,2,Sacramento,CA
United Education Institute-Huntington Park Campus,NULL,NULL,2732,3,NULL,NULL,1,Huntington Park,CA
Concorde Career College-San Bernardino,NULL,1,753,3,NULL,NULL,1,San Bernardino,CA
Universal College of Beauty Inc-Los Angeles 1,NULL,NULL,33,3,NULL,NULL,1,Los Angeles,CA
Concorde Career College-North Hollywood,NULL,1,925,3,NULL,NULL,1,North Hollywood,CA
Ventura College,NULL,NULL,11784,1,8895,NULL,2,Ventura,CA
Victor Valley Beauty College Inc,NULL,NULL,105,3,NULL,NULL,1,Victorville,CA
Victor Valley College,NULL,NULL,9981,1,13359,NULL,2,Victorville,CA
Berkeley City College,NULL,NULL,6036,1,12466,NULL,2,Berkeley,CA
Walden University,NULL,NULL,8064,3,NULL,NULL,3,Minneapolis,MN
Waynes College of Beauty,NULL,NULL,42,3,NULL,NULL,1,Salinas,CA
West Hills College-Coalinga,NULL,NULL,2793,1,13472,NULL,2,Coalinga,CA
West Los Angeles College,NULL,NULL,9464,1,13291,NULL,1,Culver City,CA
West Valley College,NULL,NULL,8470,1,14565,NULL,2,Saratoga,CA
Carrington College California-Sacramento,NULL,0.521,1267,3,NULL,NULL,1,Sacramento,CA
Westminster Theological Seminary in California,NULL,NULL,NULL,2,NULL,NULL,4,Escondido,CA
Westmont College,1193,0.7016,1295,2,51760,0.7577,3,Santa Barbara,CA
Whittier College,1043,0.6325,1651,2,49920,0.6677,3,Whittier,CA
Woodbury University,987,0.5575,1353,2,42465,0.4465,3,Burbank,CA
The Wright Institute,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Western State College of Law at Argosy University,NULL,NULL,NULL,3,NULL,NULL,4,Fullerton,CA
Thomas Jefferson School of Law,NULL,NULL,NULL,2,NULL,NULL,4,San Diego,CA
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,NULL,1,131,2,23850,0.1667,3,Los Angeles,CA
Yuba College,NULL,NULL,6345,1,12017,NULL,2,Marysville,CA
The Salon Professional Academy-Grand Junction,NULL,NULL,90,3,NULL,NULL,1,Grand Junction,CO
Adams State University,939,0.526,2227,1,17759,0.227,3,Alamosa,CO
Aims Community College,NULL,NULL,3852,1,13308,NULL,1,Greeley,CO
Arapahoe Community College,NULL,NULL,8920,1,13086,NULL,1,Littleton,CO
Bel-Rea Institute of Animal Technology,NULL,0.6754,576,3,24078,NULL,2,Denver,CO
Everest College-Colorado Springs,NULL,NULL,389,3,25950,NULL,1,Colorado Springs,CO
University of Colorado Denver,1073,0.7587,10470,1,18822,0.4129,3,Denver,CO
University of Colorado Colorado Springs,1068,0.91,8888,1,16707,0.4598,3,Colorado Springs,CO
Redstone College,NULL,NULL,434,3,25485,NULL,2,Broomfield,CO
University of Colorado Boulder,1192,0.8771,25461,1,27854,0.6969,3,Boulder,CO
Colorado Christian University,NULL,0.9764,3614,2,36956,0.3726,3,Lakewood,CO
Colorado College,1323,0.2228,2025,2,54200,0.8721,3,Colorado Springs,CO
Concorde Career College-Aurora,NULL,1,847,3,NULL,NULL,1,Aurora,CO
The Art Institute of Colorado,NULL,NULL,1794,3,30664,0.3765,3,Denver,CO
Colorado Mountain College,NULL,NULL,3559,1,14430,0.2006,1,Glenwood Springs,CO
Colorado Northwestern Community College,NULL,NULL,649,1,15455,NULL,2,Rangely,CO
Colorado School of Mines,1298,0.3743,4197,1,29091,0.6969,3,Golden,CO
Colorado School of Trades,NULL,NULL,182,3,NULL,NULL,2,Lakewood,CO
Colorado State University-Fort Collins,1127,0.7743,22482,1,21823,0.6383,3,Fort Collins,CO
Colorado Technical University-Colorado Springs,NULL,NULL,1200,3,23475,0.2174,3,Colorado Springs,CO
Empire Beauty School-Lakewood,NULL,NULL,62,3,NULL,NULL,1,Lakewood,CO
Community College of Aurora,NULL,NULL,5694,1,18238,NULL,2,Aurora,CO
College America-Denver,NULL,NULL,497,2,22306,0.3387,2,Denver,CO
Delta Montrose Technical College,NULL,NULL,262,1,NULL,NULL,1,Delta,CO
Prince Institute-Rocky Mountains,NULL,NULL,34,3,18456,NULL,2,Westminster,CO
Community College of Denver,NULL,NULL,8003,1,13908,NULL,2,Denver,CO
Lincoln College of Technology-Denver,NULL,NULL,1262,3,NULL,NULL,1,Denver,CO
Denver Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Littleton,CO
Westwood College-Denver North,NULL,NULL,438,3,24309,0.3231,3,Denver,CO
University of Denver,1231,0.7673,5505,2,53614,0.7752,3,Denver,CO
Emily Griffith Technical College,NULL,NULL,2802,1,NULL,NULL,1,Denver,CO
Fort Lewis College,1049,0.875,3859,1,19565,0.3662,3,Durango,CO
Front Range Community College,NULL,NULL,16297,1,14433,NULL,1,Westminster,CO
Glenwood Beauty Academy,NULL,NULL,53,3,NULL,NULL,1,Glenwood Springs,CO
Hair Dynamics Education Center,NULL,NULL,174,3,NULL,NULL,1,Fort Collins,CO
Iliff School of Theology,NULL,NULL,NULL,2,NULL,NULL,4,Denver,CO
International Salon and Spa Academy,NULL,NULL,205,3,NULL,NULL,1,Colorado Springs,CO
Lamar Community College,NULL,NULL,538,1,15591,NULL,2,Lamar,CO
Colorado Mesa University,972,0.8212,8733,1,18077,0.3005,3,Grand Junction,CO
Metropolitan State University of Denver,973,0.7116,21696,1,14034,0.2597,3,Denver,CO
Morgan Community College,NULL,NULL,937,1,16058,NULL,1,Fort Morgan,CO
Naropa University,NULL,0.7975,380,2,42575,0.4091,3,Boulder,CO
National American University-Colorado Springs,NULL,NULL,281,3,NULL,0.2222,3,Colorado Springs,CO
National American University-Denver,NULL,NULL,258,3,NULL,0.1,2,Denver,CO
