INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Charles R Drew University of Medicine and Science,735,0.8889,83,2,26941,NULL,2,Los Angeles,CA
Concordia University-Irvine,1020,0.9119,1916,2,41233,0.6256,3,Irvine,CA
San Diego Christian College,986,0.492,889,2,37696,0.4125,3,El Cajon,CA
Church Divinity School of the Pacific,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Citrus College,NULL,NULL,11494,1,8257,NULL,2,Glendora,CA
Citrus Heights Beauty College,NULL,NULL,96,3,NULL,NULL,1,Citris Heights,CA
City College of San Francisco,NULL,NULL,24662,1,9757,NULL,1,San Francisco,CA
Claremont Graduate University,NULL,NULL,NULL,2,NULL,NULL,4,Claremont,CA
Claremont McKenna College,1397,0.1173,1311,2,60065,0.9254,3,Claremont,CA
Milan Institute-Visalia,NULL,NULL,354,3,NULL,NULL,1,Visalia,CA
Clovis Adult Education,NULL,NULL,608,1,NULL,NULL,1,Clovis,CA
Coastline Community College,NULL,NULL,8999,1,11569,NULL,2,Fountain Valley,CA
Cogswell College,NULL,0.7784,457,3,32243,0.3125,3,Sunnyvale,CA
Coleman University,NULL,1,532,2,29842,0.5116,2,San Diego,CA
COBA Academy,NULL,NULL,40,3,NULL,NULL,1,Orange,CA
Western University of Health Sciences,NULL,NULL,NULL,2,NULL,NULL,4,Pomona,CA
Columbia College,NULL,NULL,2425,1,12210,NULL,2,Sonora,CA
Columbia College-Hollywood,NULL,0.548,314,2,30642,0.4912,3,Tarzana,CA
El Camino College-Compton Center,NULL,NULL,6846,1,12723,NULL,2,Compton,CA
Contra Costa College,NULL,NULL,5468,1,15105,NULL,2,San Pablo,CA
Cosumnes River College,NULL,NULL,12852,1,13537,NULL,2,Sacramento,CA
Crafton Hills College,NULL,NULL,4716,1,16696,NULL,2,Yucaipa,CA
Cuesta College,NULL,NULL,7964,1,15304,NULL,2,San Luis Obispo,CA
Cuyamaca College,NULL,NULL,7778,1,7866,NULL,2,El Cajon,CA
Cypress College,NULL,NULL,14923,1,10174,NULL,2,Cypress,CA
De Anza College,NULL,NULL,20496,1,10046,NULL,2,Cupertino,CA
Marinello Schools of Beauty-Hemet,NULL,NULL,1330,3,NULL,NULL,1,Hemet,CA
International School of Beauty Inc,NULL,NULL,229,3,NULL,NULL,1,Palm Desert,CA
Dell'Arte International School of Physical Theatre,NULL,0.6667,14,2,NULL,NULL,1,Blue Lake,CA
College of the Desert,NULL,NULL,8330,1,14046,NULL,2,Palm Desert,CA
Design Institute of San Diego,NULL,NULL,181,3,29477,0.6667,3,San Diego,CA
Diablo Valley College,NULL,NULL,18566,1,14386,NULL,1,Pleasant Hill,CA
Dominican University of California,1057,0.7752,1567,2,56165,0.5387,3,San Rafael,CA
Dominican School of Philosophy & Theology,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
East Los Angeles College,NULL,NULL,33439,1,14906,NULL,1,Monterey Park,CA
Marinello Schools of Beauty-Santa Clara,NULL,NULL,566,3,NULL,NULL,1,Santa Clara,CA
El Camino Community College District,NULL,NULL,22222,1,16018,NULL,2,Torrance,CA
Elegance International,NULL,NULL,205,3,NULL,NULL,1,Hollywood,CA
Marinello Schools of Beauty-Burbank,NULL,NULL,397,3,NULL,NULL,1,Burbank,CA
Marinello Schools of Beauty-Moreno Valley,NULL,NULL,254,3,NULL,NULL,1,Moreno Valley,CA
